Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Germany,DEU,1336584774240.41,1467683146045.49,2770026575795.32,2839476465356.02,2439682376398.83,2521046002002.8,2655523466630.62,2860905995316.81,2808335025309.75,2811532855120.58,3041225103434.06,2977327589585.61
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Ghana,GHA,5566939678.76472,4706067456.53891,53467496706.7908,43922567515.0825,40029725217.9999,44807230245.2374,49654149123.4791,52761938553.9738,56215625053.5072,54635508158.7824,63374323103.9774,58898525121.9397
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Greece,GRC,82285965176.2683,111088992814.825,216254801433.178,211118473637.077,174053441168.606,171143539210.831,178836967824.003,188754043686.667,183146439531.589,175196347539.769,192454877586.187,192845972303.448
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Greenland,GRL,..,..,2427589628.53833,2488086046.53925,2097041524.7682,2160598362.96923,2258689363.76441,2417936211.3198,2362986175.66798,2435991501.19992,2619172591.49687,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,..,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Guatemala,GTM,6901381929.10527,17537519323.9093,51325090021.3843,55840857535.7702,59328915199.1263,62753764770.75,68417314855.8159,71042435323.7381,74056831892.6362,73787890191.8631,83647244438.4204,94983595889.0684
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Guinea,GIN,2075818379.19717,2514940634.09319,8710944902.83258,8829245387.56962,9259030497.46814,8632625721.18249,9257161555.32845,10555437386.0644,11910732443.7533,12723389743.9264,14308526700.4621,19174053733.3418
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Guinea-Bissau,GNB,237064470.967771,396665770.888065,1049660834.43526,1052400783.86527,1012693720.10567,1143314557.40247,1300194689.95386,1327204613.61097,1360160011.96869,1404763666.70348,..,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Guyana,GUY,341139248.101266,647335270.514718,..,..,..,..,..,..,..,..,..,..
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Haiti,HTI,3179097800,7094006441.08428,15169623039.7088,15729284038.0609,15491960071.1268,14696999284.1302,15547507177.2069,17594063993.3583,15586007505.7497,15147858705.006,21943238895.8394,21507224595.806
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Honduras,HND,4250263246.59533,6048222362.60265,18252345029.2912,18900276716.8336,19262156715.5423,19765269827.382,21008802164.966,22640402943.8273,23950721911.183,23016672772.5394,28334669870.2201,31799171580.0702
Final consumption expenditure (current US$),NE.CON.TOTL.CD,"Hong Kong SAR, China",HKG,49458711768.6704,116749780734.593,207791387313.048,221429655342.884,235347373173.799,244526264936.069,262513729918.39,282942782420.106,291370760706.575,272811581498.479,286472109298.616,291845408983.049
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Hungary,HUN,..,35709358415.9,97563284829.7906,98853659690.0279,86063791359.7594,90085893413.2163,100588035952.873,110695053877.516,113664415468.245,111350357687.854,125921881193.835,125321235029.019
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Iceland,ISL,5047648818.21742,7396292294.18948,12387977550.0282,13651561868.7665,12807031664.3386,15029522434.5564,18242804760.9981,19546993617.133,18452416212.7109,17276185959.0575,20357474827.6009,21749107919.741
Final consumption expenditure (current US$),NE.CON.TOTL.CD,India,IND,251521172783.241,354513217160.806,1261473781154.15,1398199940663.6,1460638596951.89,1597266510231.84,1842571738885.13,1895065631795.18,2039196828029.04,1947172783777.5,2277692682062.55,2404651380167.63
Final consumption expenditure (current US$),NE.CON.TOTL.CD,Indonesia,IDN,77508422169.4078,112515230458.414,605434052714.248,592963201528.932,578489151870.563,627662372649.449,674331685150.845,687910962698.151,746875345449.596,726401933827.743,769731682488.023,800681724481.034
Final consumption expenditure (current US$),NE.CON.TOTL.CD,"Iran, Islamic Rep.",IRN,98255385174.2514,68669376116.245,294781253330.256,277007976794.194,281627782869.6,306000770602.964,316204704233.38,210284728099.387,182604613858.696,145521953749.592,206041594978.238,231024857848.577
