year,type,production,consumption,Price,milk_id,unit_id,,,,"`year`, `type`, `production`, `consumption`, `price`, `milk_id`, `unit_id`"
1933,Total dairy products,5400928,Total domestic disappearance,507.95,8,Kilolitres,,,,
1933,Fluid products,1886505,Total domestic disappearance,177.42,11,Kilolitres,,,,
1933,Butter,3248349,Total domestic disappearance,305.5,6,Kilolitres,,,,
1933,Cheese,179922,Total domestic disappearance,16.92,13,Kilolitres,,,,
1933,Concentrated whole milk products,46545,Total domestic disappearance,4.38,0,Kilolitres,,,,
1933,Ice cream,39607,Total domestic disappearance,3.73,12,Kilolitres,,,,
1934,Total dairy products,5600896,Total domestic disappearance,521.46,13,Kilolitres,,,,
1934,Fluid products,1952737,Total domestic disappearance,181.8,7,Kilolitres,,,,
1934,Butter,3360201,Total domestic disappearance,312.84,5,Kilolitres,,,,
1934,Cheese,193035,Total domestic disappearance,17.97,1,Kilolitres,,,,
1934,Concentrated whole milk products,53481,Total domestic disappearance,4.98,5,Kilolitres,,,,
1934,Ice cream,41441,Total domestic disappearance,3.86,10,Kilolitres,,,,
1935,Total dairy products,5667479,Total domestic disappearance,522.59,9,Kilolitres,,,,
1935,Fluid products,1951123,Total domestic disappearance,179.91,14,Kilolitres,,,,
1935,Butter,3412900,Total domestic disappearance,314.7,5,Kilolitres,,,,
1935,Cheese,196185,Total domestic disappearance,18.09,14,Kilolitres,,,,
1935,Concentrated whole milk products,61678,Total domestic disappearance,5.69,1,Kilolitres,,,,
1935,Ice cream,45594,Total domestic disappearance,4.2,4,Kilolitres,,,,
1936,Total dairy products,5800780,Total domestic disappearance,529.75,7,Kilolitres,,,,
1936,Fluid products,1994014,Total domestic disappearance,182.1,9,Kilolitres,,,,
1936,Butter,3478149,Total domestic disappearance,317.64,1,Kilolitres,,,,
1936,Cheese,197964,Total domestic disappearance,18.08,11,Kilolitres,,,,
1936,Concentrated whole milk products,73543,Total domestic disappearance,6.72,4,Kilolitres,,,,
1936,Ice cream,57110,Total domestic disappearance,5.22,3,Kilolitres,,,,
1937,Total dairy products,5862585,Total domestic disappearance,530.79,12,Kilolitres,,,,
1937,Fluid products,1960711,Total domestic disappearance,177.52,4,Kilolitres,,,,
1937,Butter,3557156,Total domestic disappearance,322.06,14,Kilolitres,,,,
1937,Cheese,195332,Total domestic disappearance,17.69,8,Kilolitres,,,,
1937,Concentrated whole milk products,85058,Total domestic disappearance,7.7,11,Kilolitres,,,,
1937,Ice cream,64328,Total domestic disappearance,5.82,3,Kilolitres,,,,
1938,Total dairy products,6013788,Total domestic disappearance,539.26,0,Kilolitres,,,,
1938,Fluid products,2115945,Total domestic disappearance,189.74,14,Kilolitres,,,,
1938,Butter,3538293,Total domestic disappearance,317.28,0,Kilolitres,,,,
1938,Cheese,209403,Total domestic disappearance,18.78,11,Kilolitres,,,,
1938,Concentrated whole milk products,88240,Total domestic disappearance,7.92,8,Kilolitres,,,,
1938,Ice cream,61906,Total domestic disappearance,5.55,14,Kilolitres,,,,
1939,Total dairy products,6065824,Total domestic disappearance,538.36,3,Kilolitres,,,,
1939,Fluid products,2115544,Total domestic disappearance,187.76,10,Kilolitres,,,,
1939,Butter,3568541,Total domestic disappearance,316.72,1,Kilolitres,,,,
1939,Cheese,211457,Total domestic disappearance,18.77,13,Kilolitres,,,,
1939,Concentrated whole milk products,107629,Total domestic disappearance,9.55,9,Kilolitres,,,,
1939,Ice cream,62653,Total domestic disappearance,5.56,4,Kilolitres,,,,
