"REF_DATE","GEO","DGUID","Type of dairy product","Type of disappearance of dairy products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1938","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","61906","","","","0"
"1938","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","5.55","","","","2"
"1939","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","6065824","","","","0"
"1939","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","538.36","","","","2"
"1939","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","2115544","","","","0"
"1939","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","187.76","","","","2"
"1939","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","3568541","","","","0"
"1939","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","316.72","","","","2"
"1939","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","211457","","","","0"
"1939","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","18.77","","","","2"
"1939","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","107629","","","","0"
"1939","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","9.55","","","","2"
"1939","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","62653","","","","0"
"1939","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","5.56","","","","2"
"1940","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","5881196","","","","0"
"1940","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","516.75","","","","2"
"1940","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","1878290","","","","0"
"1940","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","165.04","","","","2"
"1940","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","3615550","","","","0"
"1940","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","317.68","","","","2"
"1940","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","203250","","","","0"
"1940","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","17.86","","","","2"
"1940","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","114614","","","","0"
"1940","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","10.07","","","","2"
"1940","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","69492","","","","0"
"1940","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","6.11","","","","2"
"1941","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","5948703","","","","0"
"1941","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","521.13","","","","2"
"1941","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","1864995","","","","0"
"1941","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","163.38","","","","2"
"1941","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","3612907","","","","0"
"1941","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","316.50","","","","2"
"1941","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","251761","","","","0"
"1941","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","22.06","","","","2"
"1941","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","129832","","","","0"
"1941","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","11.37","","","","2"
"1941","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","89209","","","","0"
"1941","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","7.82","","","","2"
"1942","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","6279264","","","","0"
"1942","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","548.12","","","","2"
"1942","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","1994456","","","","0"
"1942","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","174.10","","","","2"
"1942","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","3789293","","","","0"
"1942","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","330.77","","","","2"
"1942","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","222660","","","","0"
"1942","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","19.44","","","","2"
"1942","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","177005","","","","0"
"1942","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","15.45","","","","2"
"1942","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","95851","","","","0"
"1942","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","8.37","","","","2"
"1943","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","5992402","","","","0"
"1943","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","521.39","","","","2"
"1943","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","2153328","","","","0"
"1943","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","187.36","","","","2"
"1943","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","3250980","","","","0"
"1943","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","282.86","","","","2"
"1943","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","268751","","","","0"
"1943","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","23.38","","","","2"
"1943","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","210795","","","","0"
"1943","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","18.34","","","","2"
"1943","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","108547","","","","0"
"1943","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","9.44","","","","2"
"1944","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","6257364","","","","0"
"1944","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","541.86","","","","2"
"1944","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","2243451","","","","0"
"1944","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","194.27","","","","2"
"1944","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","3449712","","","","0"
"1944","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","298.73","","","","2"
"1944","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","267118","","","","0"
"1944","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","23.13","","","","2"
"1944","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","185865","","","","0"
"1944","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","16.10","","","","2"
"1944","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","111217","","","","0"
"1944","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","9.63","","","","2"
"1945","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","6230910","","","","0"
"1945","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","534.84","","","","2"
"1945","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","2281156","","","","0"
"1945","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","195.81","","","","2"
"1945","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","3354639","","","","0"
"1945","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","287.95","","","","2"
"1945","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","298938","","","","0"
"1945","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","25.66","","","","2"
"1945","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","193237","","","","0"
"1945","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","16.58","","","","2"
"1945","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","102939","","","","0"
"1945","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","8.84","","","","2"
"1946","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","5954592","","","","0"
"1946","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","486.01","","","","2"
"1946","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","2390047","","","","0"
"1946","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","195.08","","","","2"
"1946","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","3017267","","","","0"
"1946","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","246.27","","","","2"
"1946","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","255366","","","","0"
"1946","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","20.84","","","","2"
"1946","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","192264","","","","0"
"1946","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","15.69","","","","2"
"1946","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","99646","","","","0"
"1946","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","8.13","","","","2"
"1947","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","6406667","","","","0"
"1947","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","510.46","","","","2"
"1947","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","2338217","","","","0"
"1947","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","186.30","","","","2"
"1947","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","3370896","","","","0"
"1947","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","268.58","","","","2"
"1947","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","320647","","","","0"
"1947","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","25.55","","","","2"
"1947","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","229342","","","","0"
"1947","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","18.28","","","","2"
"1947","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","147565","","","","0"
"1947","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","11.76","","","","2"
"1948","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","6393657","","","","0"
"1948","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","498.61","","","","2"
"1948","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","2226928","","","","0"
"1948","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","173.67","","","","2"
"1948","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","3514160","","","","0"
"1948","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","274.05","","","","2"
"1948","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","252444","","","","0"
"1948","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","19.69","","","","2"
"1948","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","241449","","","","0"
"1948","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","18.83","","","","2"
"1948","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","158676","","","","0"
"1948","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","12.37","","","","2"
"1949","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","6016327","","","","0"
"1949","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","453.65","","","","2"
"1949","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","2264566","","","","0"
"1949","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","172.84","","","","2"
"1949","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","3022304","","","","0"
"1949","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","226.20","","","","2"
"1949","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","302839","","","","0"
"1949","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","22.67","","","","2"
"1949","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","235706","","","","0"
"1949","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","17.65","","","","2"
"1949","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","190912","","","","0"
"1949","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","14.29","","","","2"
"1950","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","6232492","","","","0"
"1950","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","458.93","","","","2"
"1950","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","2299944","","","","0"
"1950","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","172.14","","","","2"
"1950","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","3138009","","","","0"
"1950","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","228.85","","","","2"
"1950","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","334550","","","","0"
"1950","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","24.40","","","","2"
"1950","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","272693","","","","0"
"1950","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","19.89","","","","2"
"1950","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","187296","","","","0"
"1950","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","13.66","","","","2"
"1951","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","6187427","","","","0"
"1951","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","446.04","","","","2"
"1951","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","2309612","","","","0"
"1951","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","169.23","","","","2"
"1951","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","3048717","","","","0"
"1951","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","217.63","","","","2"
"1951","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","342149","","","","0"
"1951","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","24.42","","","","2"
"1951","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","285959","","","","0"
"1951","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","20.41","","","","2"
"1951","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","200990","","","","0"
"1951","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","14.35","","","","2"
"1952","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","6314039","","","","0"
"1952","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","441.03","","","","2"
"1952","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","2364838","","","","0"
"1952","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","167.90","","","","2"
"1952","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","3066698","","","","0"
"1952","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","212.10","","","","2"
"1952","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","362978","","","","0"
"1952","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","25.11","","","","2"
"1952","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","309687","","","","0"
"1952","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","21.42","","","","2"
"1952","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","209839","","","","0"
"1952","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","14.51","","","","2"
"1953","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","6515034","","","","0"
"1953","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","443.25","","","","2"
"1953","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","2456630","","","","0"
"1953","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","169.87","","","","2"
"1953","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","3141547","","","","0"
"1953","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","211.62","","","","2"
"1953","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","378925","","","","0"
"1953","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","25.52","","","","2"
"1953","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","323095","","","","0"
"1953","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","21.77","","","","2"
"1953","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","214837","","","","0"
"1953","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","14.47","","","","2"
"1954","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","6674397","","","","0"
"1954","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","441.00","","","","2"
"1954","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","2532755","","","","0"
"1954","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","170.08","","","","2"
"1954","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","3194306","","","","0"
"1954","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","208.96","","","","2"
"1954","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","406569","","","","0"
"1954","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","26.59","","","","2"
"1954","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","326799","","","","0"
"1954","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","21.38","","","","2"
"1954","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","213969","","","","0"
"1954","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","14.00","","","","2"
"1955","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","6924064","","","","0"
"1955","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","445.56","","","","2"
"1955","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","2650096","","","","0"
"1955","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","173.30","","","","2"
"1955","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","3262846","","","","0"
"1955","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","207.85","","","","2"
"1955","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","437579","","","","0"
"1955","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","27.88","","","","2"
"1955","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","331280","","","","0"
"1955","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","21.10","","","","2"
"1955","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","242262","","","","0"
"1955","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","15.43","","","","2"
"1956","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","7187915","","","","0"
"1956","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","451.54","","","","2"
"1956","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","2769857","","","","0"
"1956","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","176.81","","","","2"
"1956","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","3376466","","","","0"
"1956","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","209.97","","","","2"
"1956","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","439044","","","","0"
"1956","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","27.30","","","","2"
"1956","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","354057","","","","0"
"1956","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","22.02","","","","2"
"1956","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","248493","","","","0"
"1956","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","15.45","","","","2"
"1957","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","7266994","","","","0"
"1957","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","441.80","","","","2"
"1957","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","2723374","","","","0"
"1957","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","168.26","","","","2"
"1957","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","3445254","","","","0"
"1957","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","207.42","","","","2"
"1957","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","480568","","","","0"
"1957","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","28.93","","","","2"
"1957","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","354807","","","","0"
"1957","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","21.36","","","","2"
"1957","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","262992","","","","0"
"1957","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","15.83","","","","2"
"1958","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","7178475","","","","0"
"1958","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","424.41","","","","2"
"1958","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","2716494","","","","0"
"1958","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","163.17","","","","2"
"1958","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","3343365","","","","0"
"1958","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","195.75","","","","2"
