"REF_DATE","GEO","DGUID","Type of dairy product","Type of disappearance of dairy products","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1924","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","2676906","","","","0"
"1924","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","292.78","","","","2"
"1924","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","145939","","","","0"
"1924","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","15.96","","","","2"
"1924","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","38870","","","","0"
"1924","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","4.25","","","","2"
"1924","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","38029","","","","0"
"1924","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","4.16","","","","2"
"1925","Canada","","Total dairy products","Total domestic disappearance","Kilolitres","195","units ","0","v72554","1.1.1","4689342","","","","0"
"1925","Canada","","Total dairy products","Per capita domestic disappearance","Litres","203","units ","0","v72560","1.1.2","504.55","","","","2"
"1925","Canada","","Fluid products","Total domestic disappearance","Kilolitres","195","units ","0","v72555","1.2.1","1728178","","","","0"
"1925","Canada","","Fluid products","Per capita domestic disappearance","Litres","203","units ","0","v72561","1.2.2","185.95","","","","2"
"1925","Canada","","Butter","Total domestic disappearance","Kilolitres","195","units ","0","v72556","1.3.1","2706235","","","","0"
"1925","Canada","","Butter","Per capita domestic disappearance","Litres","203","units ","0","v72562","1.3.2","291.18","","","","2"
"1925","Canada","","Cheese","Total domestic disappearance","Kilolitres","195","units ","0","v72557","1.4.1","171830","","","","0"
"1925","Canada","","Cheese","Per capita domestic disappearance","Litres","203","units ","0","v72563","1.4.2","18.49","","","","2"
"1925","Canada","","Concentrated whole milk products","Total domestic disappearance","Kilolitres","195","units ","0","v72558","1.5.1","42294","","","","0"
"1925","Canada","","Concentrated whole milk products","Per capita domestic disappearance","Litres","203","units ","0","v72564","1.5.2","4.55","","","","2"
"1925","Canada","","Ice cream","Total domestic disappearance","Kilolitres","195","units ","0","v72559","1.6.1","40805","","","","0"
"1925","Canada","","Ice cream","Per capita domestic disappearance","Litres","203","units ","0","v72565","1.6.2","4.39","","","","2"
